time,price,status,amount
94148,12.87,B,1400
94150,12.87,S,1000
94153,12.87,S,100
94159,12.87,S,3357
94159,12.86,S,1000
94159,12.86,S,3643
94159,12.87,S,700
94203,12.86,S,100
94206,12.87,B,300
94206,12.87,B,300
94208,12.87,B,300
94211,12.86,S,2157
94211,12.86,S,200
94211,12.86,B,100
94213,12.85,S,100
94216,12.85,S,200
94226,12.85,S,500
94227,12.86,B,500
94231,12.86,B,43
94231,12.86,B,500
94231,12.86,B,500
94231,12.86,B,1000
94231,12.86,B,500
94231,12.86,B,1000
94231,12.86,B,1000
94231,12.86,B,600
94232,12.86,S,1357
94232,12.85,S,2043
94238,12.85,S,357
94238,12.85,S,143
94246,12.85,S,600
94250,12.85,S,257
94250,12.85,S,100
94250,12.85,S,543
94253,12.85,S,1457
94253,12.85,S,1000
94257,12.85,B,343
94258,12.86,B,1000
94258,12.85,S,157
94258,12.85,S,3000
94307,12.85,B,500
94311,12.84,S,400
94311,12.84,S,300
94311,12.84,S,100
94311,12.85,B,700
94311,12.85,B,800
94313,12.84,S,400
94316,12.84,B,1000
94322,12.84,B,1000
94322,12.83,S,1000
94322,12.82,S,2000
94322,12.81,S,600
94322,12.81,S,600
94322,12.81,S,500
94322,12.81,S,1500
94322,12.81,S,1400
94322,12.81,S,500
94322,12.8,S,1300
94323,12.8,S,23150
94327,12.8,S,900
94330,12.8,S,1700
94331,12.84,B,1300
94333,12.8,S,800
94345,12.81,B,1000
94346,12.8,S,2000
94347,12.8,S,1550
94347,12.8,S,2000
94347,12.8,S,400
94347,12.8,S,10000
94347,12.8,S,900
94347,12.8,S,200
94347,12.8,S,1000
94347,12.8,S,500
94347,12.8,S,200
94347,12.8,S,400
94347,12.8,S,300
94347,12.8,S,1000
94356,12.8,B,200
94401,12.8,B,1350
94401,12.8,B,1000
94401,12.8,B,7350
94402,12.8,B,150
94402,12.8,B,1050
94406,12.79,S,600
94406,12.78,S,1400
94409,12.79,B,300
94418,12.79,S,400
94423,12.8,B,700
94424,12.79,S,200
94424,12.79,S,3000
94426,12.79,S,1100
94426,12.79,B,500
94426,12.78,S,300
94427,12.78,B,200
94427,12.79,B,1400
94427,12.8,B,400
94428,12.8,B,500
94450,12.77,S,500
94450,12.76,S,2000
94450,12.79,B,300
94450,12.79,B,200
94455,12.79,B,1000
94456,12.79,B,500
94456,12.79,B,200
